airport,month,day,wind_spd
LGA,10,4,2.7
LGA,2,14,3.7
EWR,12,2,1.4
JFK,3,17,5.5
JFK,4,6,6.0
LGA,10,17,3.7
LGA,10,18,6.0
EWR,11,15,2.7
JFK,2,8,8.8
LGA,2,22,3.9
LGA,4,1,5.9
LGA,4,11,4.3
LGA,1,3,5.0
JFK,1,4,7.3
EWR,12,29,3.9
EWR,1,6,3.9
JFK,2,14,3.9
EWR,2,7,2.9
EWR,3,16,3.5
EWR,2,24,5.9
JFK,3,2,5.5
JFK,1,3,5.3
JFK,11,18,7.2
LGA,4,21,4.4
LGA,1,15,3.5
LGA,12,4,2.5
JFK,10,25,6.1
JFK,11,16,2.6
EWR,12,8,3.7
EWR,12,19,2.6
EWR,3,18,4.4
EWR,4,6,4.9
JFK,4,10,4.0
LGA,1,24,6.9
EWR,12,5,1.6
JFK,12,21,3.1
JFK,2,25,3.9
EWR,3,8,5.6
JFK,1,24,6.8
EWR,1,17,4.2
EWR,11,27,6.6
JFK,3,1,5.8
LGA,3,4,8.5
LGA,1,17,4.8
JFK,1,26,5.7
LGA,11,4,4.8
JFK,11,23,8.3
LGA,3,23,7.5
JFK,12,16,6.4
LGA,2,4,7.1
EWR,2,18,6.0
JFK,3,20,7.0
JFK,4,15,3.7
EWR,10,14,2.2
LGA,10,14,3.0
EWR,12,1,2.1
EWR,12,31,4.6
JFK,3,21,5.5
EWR,4,3,6.4
EWR,11,1,6.5
EWR,3,17,5.4
LGA,10,9,6.4
JFK,10,31,5.4
LGA,10,31,3.6
EWR,3,2,5.2
EWR,3,29,3.9
JFK,4,13,4.3
EWR,10,31,2.5
JFK,4,2,7.6
LGA,10,10,7.6
JFK,10,24,6.6
JFK,2,3,3.2
JFK,1,2,6.5
LGA,10,12,8.1
JFK,2,15,3.7
JFK,3,6,10.4
EWR,1,20,6.9
LGA,10,20,5.4
LGA,10,24,6.4
JFK,4,8,3.5
LGA,1,10,5.3
LGA,4,8,2.9
LGA,10,11,8.1
LGA,11,23,8.3
EWR,2,11,1.9
EWR,4,9,4.1
EWR,4,21,4.4
JFK,3,3,6.6
LGA,3,31,4.7
JFK,12,14,6.6
JFK,2,27,8.3
JFK,1,21,3.9
LGA,11,18,6.8
LGA,4,2,7.3
LGA,11,16,2.6
JFK,12,26,3.8
JFK,3,18,6.2
EWR,1,18,4.9
EWR,12,14,5.8
JFK,2,2,6.0
JFK,2,22,4.2
EWR,2,22,3.1
LGA,3,21,4.8
LGA,3,30,3.6
EWR,10,23,3.5
EWR,11,14,5.3
JFK,11,15,3.7
JFK,12,18,5.8
EWR,2,12,5.9
JFK,10,15,2.6
JFK,1,22,8.2
EWR,10,9,5.1
EWR,10,20,4.6
JFK,11,2,3.1
LGA,11,6,3.8
LGA,12,19,4.1
LGA,4,13,3.2
EWR,1,4,6.3
EWR,1,30,2.6
EWR,2,15,2.9
JFK,4,17,3.8
JFK,1,7,4.1
LGA,1,20,7.6
JFK,10,5,3.0
LGA,12,8,4.2
LGA,2,16,5.5
LGA,1,19,6.2
EWR,10,8,3.7
EWR,12,26,3.1
LGA,3,3,6.7
EWR,10,7,4.2
EWR,10,28,3.5
EWR,12,9,4.5
JFK,2,4,7.1
EWR,2,28,3.4
JFK,10,30,2.3
EWR,1,27,3.5
LGA,10,8,5.1
EWR,3,11,2.6
LGA,3,19,5.9
EWR,11,25,4.2
LGA,2,26,5.1
EWR,3,14,8.7
JFK,10,6,4.2
LGA,3,13,5.5
EWR,3,25,4.5
JFK,1,25,4.1
EWR,11,26,2.6
JFK,12,24,6.8
JFK,11,10,7.8
JFK,2,7,3.2
LGA,4,22,5.9
JFK,10,12,6.5
LGA,4,6,5.3
JFK,10,21,5.0
LGA,11,15,3.0
LGA,1,12,2.9
JFK,1,19,7.1
EWR,2,27,5.4
EWR,4,20,7.2
EWR,1,11,2.1
JFK,1,16,4.2
EWR,11,12,6.2
JFK,11,14,6.9
LGA,3,1,5.7
JFK,1,31,13.1
EWR,12,12,5.3
JFK,3,5,4.8
LGA,1,18,5.1
EWR,1,19,7.0
EWR,10,21,3.1
LGA,10,23,4.2
EWR,1,29,2.2
LGA,11,13,6.2
EWR,11,24,8.6
JFK,2,5,2.6
JFK,2,10,2.8
LGA,3,14,9.7
EWR,3,3,6.6
JFK,3,8,8.4
LGA,3,9,5.4
EWR,3,26,4.1
LGA,3,27,6.1
LGA,4,12,7.6
LGA,10,28,3.7
LGA,11,2,3.0
EWR,2,10,2.0
LGA,10,1,2.8
LGA,11,1,6.0
EWR,1,28,2.7
LGA,10,13,7.1
LGA,2,1,7.9
JFK,3,24,4.3
EWR,3,31,3.0
LGA,4,20,7.3
LGA,1,22,8.8
LGA,11,9,4.8
EWR,12,10,4.0
EWR,10,19,2.2
JFK,10,29,2.8
EWR,4,1,5.9
EWR,4,22,4.2
EWR,1,10,4.1
EWR,2,5,2.4
EWR,2,6,4.8
LGA,1,28,3.4
EWR,12,16,5.2
EWR,2,26,4.5
EWR,3,23,7.0
LGA,12,3,2.0
JFK,3,11,4.1
EWR,10,26,5.1
JFK,11,13,6.1
EWR,2,25,3.6
JFK,1,18,5.7
LGA,1,30,4.3
EWR,10,22,3.5
EWR,12,6,4.7
EWR,3,22,6.2
EWR,1,2,4.9
LGA,11,11,6.3
EWR,11,21,2.6
EWR,12,3,2.5
EWR,1,3,3.8
LGA,2,15,3.6
LGA,2,23,4.9
EWR,4,7,5.0
JFK,11,7,6.0
LGA,11,19,8.3
LGA,12,13,5.9
EWR,12,24,6.3
EWR,2,13,1.9
EWR,3,28,5.2
LGA,4,3,8.1
LGA,1,7,4.2
LGA,11,12,7.3
EWR,2,3,2.9
LGA,1,27,5.0
LGA,11,26,3.5
LGA,12,22,4.7
JFK,3,29,5.7
LGA,1,1,6.9
JFK,1,11,3.0
JFK,2,19,6.7
EWR,2,23,3.6
JFK,1,13,2.9
EWR,10,24,5.4
JFK,11,28,7.2
JFK,2,18,7.5
EWR,3,13,4.7
EWR,11,11,5.3
JFK,2,9,9.2
EWR,10,3,1.8
JFK,10,3,2.9
EWR,12,4,1.8
EWR,1,7,3.4
LGA,11,29,4.0
LGA,12,5,2.8
JFK,12,17,4.2
LGA,12,28,4.8
JFK,4,21,5.0
EWR,10,2,3.4
JFK,4,1,6.2
LGA,1,4,6.9
LGA,4,7,6.3
EWR,11,28,6.2
JFK,12,22,6.0
JFK,4,7,7.2
JFK,4,19,9.4
EWR,11,8,5.7
JFK,2,13,2.4
LGA,1,31,10.9
LGA,10,30,2.4
EWR,11,6,2.3
LGA,4,5,5.0
EWR,4,16,4.1
JFK,4,18,5.2
EWR,11,23,7.5
JFK,12,4,1.8
JFK,3,12,8.0
EWR,1,12,2.5
EWR,10,10,5.8
JFK,12,25,4.8
EWR,2,4,6.0
JFK,1,15,3.9
EWR,1,1,5.8
LGA,10,21,4.0
EWR,1,14,3.9
JFK,10,23,3.7
EWR,11,22,3.4
LGA,10,6,4.0
JFK,10,8,5.1
JFK,11,30,3.3
JFK,12,3,2.7
JFK,10,14,2.5
EWR,10,18,6.0
JFK,11,19,9.6
LGA,12,9,5.7
JFK,12,15,6.9
LGA,3,12,7.3
JFK,12,23,3.9
JFK,2,11,3.3
LGA,3,25,5.3
JFK,3,27,6.4
LGA,12,20,3.3
JFK,2,23,5.2
JFK,3,15,6.4
EWR,10,25,4.6
JFK,1,5,5.3
EWR,1,25,3.6
LGA,12,2,2.6
EWR,12,20,2.9
LGA,3,10,3.0
JFK,1,30,7.3
LGA,11,14,5.9
LGA,11,20,4.2
JFK,12,6,5.1
JFK,10,13,5.3
LGA,10,27,5.3
JFK,10,28,4.1
EWR,4,8,2.8
EWR,10,15,2.2
JFK,4,4,5.5
JFK,4,20,7.6
JFK,12,10,5.6
LGA,12,17,3.9
JFK,4,12,8.3
JFK,12,27,4.9
JFK,12,28,5.4
EWR,2,19,4.2
EWR,4,13,3.2
JFK,3,13,5.5
JFK,4,5,5.4
JFK,10,18,7.0
LGA,11,8,7.1
JFK,11,20,4.7
JFK,11,29,4.0
JFK,2,17,12.1
LGA,3,2,5.5
JFK,3,9,5.8
EWR,3,21,4.9
LGA,4,10,3.7
EWR,1,24,6.5
LGA,11,3,6.0
EWR,11,29,3.6
JFK,12,2,1.9
LGA,12,31,5.0
EWR,3,30,3.4
JFK,11,26,4.1
LGA,3,6,10.1
JFK,1,17,5.3
EWR,11,7,4.7
JFK,2,20,9.5
JFK,2,21,9.4
JFK,4,9,3.6
JFK,1,20,8.1
JFK,1,29,3.2
JFK,2,12,6.5
JFK,3,7,9.7
LGA,1,11,3.2
LGA,12,27,5.2
EWR,3,5,3.6
EWR,4,11,4.0
EWR,4,17,3.6
EWR,1,26,4.9
JFK,11,1,7.6
LGA,2,20,9.1
LGA,4,17,3.4
JFK,11,22,3.8
JFK,11,27,9.3
JFK,2,1,8.8
LGA,4,4,4.5
EWR,11,30,3.1
EWR,12,21,3.1
EWR,3,12,4.5
JFK,3,22,6.5
LGA,1,16,3.3
JFK,10,27,5.8
EWR,11,17,1.3
EWR,1,15,3.9
EWR,1,16,3.7
LGA,12,12,6.5
EWR,12,27,3.4
JFK,1,14,4.1
EWR,11,10,6.9
LGA,11,22,3.6
LGA,1,25,4.0
LGA,10,2,3.1
LGA,3,15,6.3
LGA,3,28,5.9
JFK,10,22,5.4
EWR,11,5,2.6
LGA,2,19,4.7
LGA,12,23,3.6
LGA,1,5,4.4
JFK,11,25,6.3
EWR,12,11,5.2
JFK,12,13,6.9
JFK,12,31,5.3
LGA,10,3,2.4
EWR,12,25,3.9
EWR,10,27,4.7
JFK,11,21,3.1
EWR,12,7,5.0
JFK,12,29,4.6
LGA,3,8,7.5
LGA,12,26,3.7
JFK,1,12,2.8
LGA,12,10,5.0
EWR,12,17,3.8
JFK,1,23,6.2
JFK,12,8,4.1
EWR,12,22,5.9
LGA,10,5,3.5
JFK,10,17,4.5
JFK,10,19,3.1
LGA,11,5,3.1
JFK,3,31,4.8
JFK,10,2,4.2
EWR,3,19,5.1
LGA,12,30,6.0
LGA,12,24,6.1
LGA,10,15,2.7
JFK,11,4,4.5
JFK,11,12,7.8
LGA,12,1,1.5
LGA,2,21,8.8
JFK,4,11,5.1
EWR,11,16,2.0
JFK,3,19,6.1
LGA,3,26,3.9
